CoCd,Material,Short Text,Plnt,SLoc,Matl Group,PO Quantity,Net Price,Net Value,Gross value,Price Date,Daily Median Net Price
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS18,F004,1500,5000.0,31.48,157400.0,157400.0,2019-01-01,29.95
7860,7101320.0,IB Ross Broiler Finisher Feed,PS18,F004,1500,10000.0,29.18,291800.0,291800.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Starter Feed,PS18,F004,1500,10000.0,30.14,301400.0,301400.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS18,F004,1500,4000.0,31.48,125920.0,125920.0,2019-01-01,29.95
7860,7101320.0,IB Ross Broiler Finisher Feed,PS18,F004,1500,15000.0,29.18,437700.0,437700.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Starter Feed,PS18,F004,1500,6000.0,30.14,180840.0,180840.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS09,F009,1500,20000.0,27.86,557200.0,557200.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Finisher Feed,PS03,F003,1500,15000.0,28.1,421500.0,421500.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Finisher Feed,PS03,F004,1500,16000.0,27.62,441920.0,441920.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Finisher Feed,PS03,F007,1500,16000.0,27.62,441920.0,441920.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Finisher Feed,PS03,F004,1500,16000.0,27.62,441920.0,441920.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS19,F003,1500,5000.0,30.96,154800.0,154800.0,2019-01-01,29.95
7860,7101320.0,IB Ross Broiler Finisher Feed,PS19,F003,1500,19500.0,28.8,561600.0,561600.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Starter Feed,PS19,F003,1500,12500.0,29.7,371250.0,371250.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS19,F011,1500,15000.0,28.8,432000.0,432000.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Starter Feed,PS19,F011,1500,10000.0,29.7,297000.0,297000.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS19,F003,1500,5000.0,30.96,154800.0,154800.0,2019-01-01,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS19,F003,1500,12000.0,29.7,356400.0,356400.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS19,F003,1500,20000.0,28.8,576000.0,576000.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Starter Feed,PS19,F015,1500,7000.0,29.7,207900.0,207900.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS19,F015,1500,2000.0,30.96,61920.0,61920.0,2019-01-01,29.95
7860,7101320.0,IB Ross Broiler Finisher Feed,PS19,F015,1500,7000.0,28.8,201600.0,201600.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS19,F003,1500,2500.0,30.96,77400.0,77400.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS19,F003,1500,12500.0,29.7,371250.0,371250.0,2019-01-02,28.12
